profile_name,year,rep_period,timestep,value CY_30-97_40-13_50-98
availability-wind2030,2030,1,224,0.050
availability-wind2030,2030,1,225,0.046
availability-wind2030,2030,1,226,0.045
availability-wind2030,2030,1,227,0.060
availability-wind2030,2030,1,228,0.063
availability-wind2030,2030,1,229,0.057
availability-wind2030,2030,1,230,0.070
availability-wind2030,2030,1,231,0.083
availability-wind2030,2030,1,232,0.082
availability-wind2030,2030,1,233,0.075
availability-wind2030,2030,1,234,0.082
availability-wind2030,2030,1,235,0.109
availability-wind2030,2030,1,236,0.144
availability-wind2030,2030,1,237,0.172
availability-wind2030,2030,1,238,0.185
availability-wind2030,2030,1,239,0.176
availability-wind2030,2030,1,240,0.205
availability-wind2030,2030,1,241,0.244
availability-wind2030,2030,1,242,0.245
availability-wind2030,2030,1,243,0.228
availability-wind2030,2030,1,244,0.240
availability-wind2030,2030,1,245,0.259
availability-wind2030,2030,1,246,0.277
availability-wind2030,2030,1,247,0.284
availability-wind2030,2030,1,248,0.291
availability-wind2030,2030,1,249,0.316
availability-wind2030,2030,1,250,0.356
availability-wind2030,2030,1,251,0.362
availability-wind2030,2030,1,252,0.385
availability-wind2030,2030,1,253,0.391
availability-wind2030,2030,1,254,0.403
availability-wind2030,2030,1,255,0.458
availability-wind2030,2030,1,256,0.474
availability-wind2030,2030,1,257,0.517
availability-wind2030,2030,1,258,0.612
availability-wind2030,2030,1,259,0.695
availability-wind2030,2030,1,260,0.752
availability-wind2030,2030,1,261,0.781
availability-wind2030,2030,1,262,0.810
availability-wind2030,2030,1,263,0.823
availability-wind2030,2030,1,264,0.841
availability-wind2030,2030,1,265,0.861
availability-wind2030,2030,1,266,0.874
availability-wind2030,2030,1,267,0.871
availability-wind2030,2030,1,268,0.874
availability-wind2030,2030,1,269,0.876
availability-wind2030,2030,1,270,0.886
availability-wind2030,2030,1,271,0.891
availability-wind2030,2030,1,272,0.892
availability-wind2030,2030,1,273,0.901
availability-wind2030,2030,1,274,0.906
availability-wind2030,2030,1,275,0.896
availability-wind2030,2030,1,276,0.900
availability-wind2030,2030,1,277,0.897
availability-wind2030,2030,1,278,0.893
availability-wind2030,2030,1,279,0.885
availability-wind2030,2030,1,280,0.880
availability-wind2030,2030,1,281,0.873
availability-wind2030,2030,1,282,0.869
availability-wind2030,2030,1,283,0.866
availability-wind2030,2030,1,284,0.853
availability-wind2030,2030,1,285,0.835
availability-wind2030,2030,1,286,0.810
availability-wind2030,2030,1,287,0.794
availability-wind2030,2030,1,288,0.800
availability-wind2030,2030,1,289,0.844
availability-wind2030,2030,1,290,0.887
availability-wind2030,2030,1,291,0.901
availability-wind2030,2030,1,292,0.901
availability-wind2030,2030,1,293,0.898
availability-wind2030,2030,1,294,0.894
availability-wind2030,2030,1,295,0.905
availability-wind2030,2030,1,296,0.911
availability-wind2030,2030,1,297,0.899
availability-wind2030,2030,1,298,0.896
availability-wind2030,2030,1,299,0.904
availability-wind2030,2030,1,300,0.879
availability-wind2030,2030,1,301,0.882
availability-wind2030,2030,1,302,0.889
availability-wind2030,2030,1,303,0.898
availability-wind2030,2030,1,304,0.906
