──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                                                                                         Time                    Allocations      
                                                                                                                                                ───────────────────────   ────────────────────────
                                                               Tot / % measured:                                                                     64.4s / 100.0%           5.99GiB / 100.0%    

Section                                                                                                                                 ncalls     time    %tot     avg     alloc    %tot      avg
      data consistency for aggregated vintage method                                                                                         1   7.98ms    0.0%  7.98ms   7.00KiB    0.0%  7.00KiB
      valid schema's oneOf constraints                                                                                                       1   5.43ms    0.0%  5.43ms   49.1KiB    0.0%  49.1KiB
      consistency between flow_commission and asset_both                                                                                     1   5.06ms    0.0%  5.06ms   2.73KiB    0.0%  2.73KiB
      group consistency between tables                                                                                                       1   3.96ms    0.0%  3.96ms   5.45KiB    0.0%  5.45KiB
      consistency between asset_commission and asset_both                                                                                    1   3.50ms    0.0%  3.50ms   2.73KiB    0.0%  2.73KiB
      commodity_price profiles require commodity_price > 0                                                                                   1   2.71ms    0.0%  2.71ms   3.77KiB    0.0%  3.77KiB
      investable storage assets using binary method should have investment limit > 0                                                         1   1.55ms    0.0%  1.55ms   2.27KiB    0.0%  2.27KiB
      only transport flows are investable                                                                                                    1   1.47ms    0.0%  1.47ms   1.23KiB    0.0%  1.23KiB
      consumer unit commitment used as bids has right data                                                                                   1   1.26ms    0.0%  1.26ms   5.23KiB    0.0%  5.23KiB
      flow_both only contain transport flows                                                                                                 1   1.25ms    0.0%  1.25ms   2.00KiB    0.0%  2.00KiB
      check DC OPF data                                                                                                                      1   1.24ms    0.0%  1.24ms   3.50KiB    0.0%  3.50KiB
      consistency between investable and asset_both                                                                                          1   1.24ms    0.0%  1.24ms   1.23KiB    0.0%  1.23KiB
      stochastic scenario probabilities sum to 1                                                                                             1   1.09ms    0.0%  1.09ms   3.08KiB    0.0%  3.08KiB
      model_parameters discount_year is valid                                                                                                1    547μs    0.0%   547μs   3.03KiB    0.0%  3.03KiB
      consumer assets use the aggregated vintage method                                                                                      1    478μs    0.0%   478μs   1.50KiB    0.0%  1.50KiB
      model_parameters has exactly one row                                                                                                   1    295μs    0.0%   295μs   1.56KiB    0.0%  1.56KiB
  compute_constraints_indices                                                                                                                1    240ms    0.4%   240ms    193KiB    0.0%   193KiB
  compute_variables_indices                                                                                                                  1    130ms    0.2%   130ms   39.5KiB    0.0%  39.5KiB
  prepare_profiles_structure                                                                                                                 1   39.6ms    0.1%  39.6ms   5.90MiB    0.1%  5.90MiB
export_solution_to_csv_files                                                                                                                 1    503ms    0.8%   503ms    143KiB    0.0%   143KiB
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
