──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                                                                                         Time                    Allocations      
                                                                                                                                                ───────────────────────   ────────────────────────
                                                               Tot / % measured:                                                                     63.5s /  99.5%           7.22GiB /  99.6%    

Section                                                                                                                                 ncalls     time    %tot     avg     alloc    %tot      avg
    add_conversion_constraints!                                                                                                              1   11.3ms    0.0%  11.3ms    663KiB    0.0%   663KiB
    add_unit_commitment_variables!                                                                                                           1   11.1ms    0.0%  11.1ms    662KiB    0.0%   662KiB
    add_power_flow_variables!                                                                                                                1   9.77ms    0.0%  9.77ms    662KiB    0.0%   662KiB
    add_scenario_tail_excess_expressions!                                                                                                    1   1.19ms    0.0%  1.19ms   3.34KiB    0.0%  3.34KiB
    add_scenario_tail_excess_constraints!                                                                                                    1    549μs    0.0%   549μs      544B    0.0%     544B
    add_start_up_and_shut_down_variables!                                                                                                    1   93.0μs    0.0%  93.0μs   4.22KiB    0.0%  4.22KiB
save_solution!                                                                                                                               1    7.71s   12.2%   7.71s   1.15GiB   15.9%  1.15GiB
  compute_dual_variables                                                                                                                     1    3.38s    5.3%   3.38s   64.8MiB    0.9%  64.8MiB
create EnergyProblem from connection                                                                                                         1    5.51s    8.7%   5.51s    786MiB   10.7%   786MiB
  create_internal_structure                                                                                                                  1    4.72s    7.5%   4.72s    739MiB   10.0%   739MiB
    create_lowest_resolution_table                                                                                                           1    1.62s    2.6%   1.62s    591MiB    8.0%   591MiB
      append t_lowest_all rows                                                                                                               1    904ms    1.4%   904ms    294MiB    4.0%   294MiB
      append t_lowest_all_flows rows                                                                                                         1    693ms    1.1%   693ms    296MiB    4.0%   296MiB
      append t_lowest_flows_relationship rows                                                                                                1    614μs    0.0%   614μs   2.52KiB    0.0%  2.52KiB
      append t_lowest_flows_conversion_balance rows                                                                                          1    439μs    0.0%   439μs   2.53KiB    0.0%  2.53KiB
    validate data                                                                                                                            1    1.58s    2.5%   1.58s    124MiB    1.7%   124MiB
      no duplicate rows                                                                                                                      1    321ms    0.5%   321ms   19.1MiB    0.3%  19.1MiB
      valid schema's oneOf constraints                                                                                                       1    258ms    0.4%   258ms   21.1MiB    0.3%  21.1MiB
      consumer unit commitment used as bids has right data                                                                                   1    213ms    0.3%   213ms   32.0MiB    0.4%  32.0MiB
      stochastic scenario probabilities sum to 1                                                                                             1    118ms    0.2%   118ms   8.70MiB    0.1%  8.70MiB
      group consistency between tables                                                                                                       1    113ms    0.2%   113ms   13.3MiB    0.2%  13.3MiB
      has all tables and columns                                                                                                             1    107ms    0.2%   107ms   2.75MiB    0.0%  2.75MiB
      data consistency for aggregated vintage method                                                                                         1   90.5ms    0.1%  90.5ms   4.42MiB    0.1%  4.42MiB
      model_parameters discount_year is valid                                                                                                1   54.0ms    0.1%  54.0ms   3.07MiB    0.0%  3.07MiB
      check DC OPF data                                                                                                                      1   45.3ms    0.1%  45.3ms   2.04MiB    0.0%  2.04MiB
      consistency between asset_commission and asset_both                                                                                    1   45.1ms    0.1%  45.1ms   2.42MiB    0.0%  2.42MiB
      flow_both only contain transport flows                                                                                                 1   37.1ms    0.1%  37.1ms   4.79MiB    0.1%  4.79MiB
      consistency between flow_commission and asset_both                                                                                     1   36.0ms    0.1%  36.0ms   1.99MiB    0.0%  1.99MiB
      investable storage assets using binary method should have investment limit > 0                                                         1   28.2ms    0.0%  28.2ms   2.02MiB    0.0%  2.02MiB
      only transport flows are investable                                                                                                    1   28.0ms    0.0%  28.0ms   1.29MiB    0.0%  1.29MiB
      commodity_price profiles require commodity_price > 0                                                                                   1   27.8ms    0.0%  27.8ms   1.58MiB    0.0%  1.58MiB
      consistency between investable and asset_both                                                                                          1   26.8ms    0.0%  26.8ms   1.36MiB    0.0%  1.36MiB
      consumer assets use the aggregated vintage method                                                                                      1   25.2ms    0.0%  25.2ms   1.53MiB    0.0%  1.53MiB
      model_parameters has exactly one row                                                                                                   1   6.93ms    0.0%  6.93ms   92.9KiB    0.0%  92.9KiB
    create_highest_resolution_table                                                                                                          1    533ms    0.8%   533ms   8.31KiB    0.0%  8.31KiB
    create_merged_tables                                                                                                                     1    531ms    0.8%   531ms   6.84KiB    0.0%  6.84KiB
    create_unrolled_partition_tables                                                                                                         1    324ms    0.5%   324ms   16.3MiB    0.2%  16.3MiB
  prepare_profiles_structure                                                                                                                 1    500ms    0.8%   500ms   45.1MiB    0.6%  45.1MiB
  compute_constraints_indices                                                                                                                1    186ms    0.3%   186ms   1.60MiB    0.0%  1.60MiB
  compute_variables_indices                                                                                                                  1   98.8ms    0.2%  98.8ms   39.5KiB    0.0%  39.5KiB
export_solution_to_csv_files                                                                                                                 1    594ms    0.9%   594ms   5.18MiB    0.1%  5.18MiB
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
